,cod,artista,nombre,tempo,energy,loudness,danceability,valence,Clasificacion
23,4TaK2Wb4vlSwuA4UGi919s,Maximo Escaleras,La Cumbiambera,144.843,0.918,0.087,0.826,0.975,0
95,7IemlGq4itPt0RKlUcQV3A,La Máquina Camaleón,Shiva,120.019,0.431,-7.498,0.736,0.798,0
94,0AbdQ824hl6AEUpQPyJEbP,La Máquina Camaleón,Motora,142.994,0.815,-4.579,0.579,0.974,0
24,2AR6gN4QVBdJ8iw2KSG7fQ,Olga Tañón,Es Mentiroso,144.28,0.814,-4.431,0.847,0.895,0
13,0PniWiJeVL4tyF4BVItzHW,Don Medardo y sus Players Mauricio Luzuriaga,Cumbia Chonera,107.475,0.737,-6.685,0.762,0.721,0
80,73uXfG7ynTm58JjHkp9dO1,Trio Los Garles,San Juanito,117.932,0.863,-2.775,0.86,0.894,0
15,7hjqU6cN5VGzohHDuo9sAG,La Sonora Dinamita,A Mover La Colita,109.773,0.741,-5.21,0.691,0.954,0
16,22FB6hM6aonuPuVzBQYRcx,La Sonora Dinamita,Mi Cucu,104.766,0.865,-5.063,0.709,0.898,0
17,3w8uaEfPNJqlHZp3GNYpUg,32 Cañonazos De La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,104.114,0.807,-5.096,0.652,0.905,0
18,4WrS8ipVxV1F2lL2dTvarn,Grupo Deseo,La Otra Mosita,109.987,0.547,-8.877,0.849,0.946,0
19,0L1ygxVmZ1tO1R8S4XoSJV,Gerardo Morán,Verbenita,142.918,0.872,-1.108,0.784,0.969,0
20,42vLoLQGZEDUJCzvhTH3mr,Gerardo Morán,En Vida,142.814,0.812,-1.519,0.775,0.819,0
21,4zh9LDVB4Im7SP73Vfl7uk,Gerardo Morán,Morena la Ingratitud,150.002,0.688,-3.836,0.664,0.789,0
22,3DjL397lHXCY5Lv0xwPWa2,Sharon La Hechicera,Ciclon,103.034,0.611,-8.214,0.815,0.808,0
14,0QC44j72EU7FjkiHNScZEn,Don Medardo y Sus Players,Cumbia Triste (2011),114.545,0.739,-6.411,0.649,0.963,0
51,4G3PTss3mU33Tau7t4KbwE,Rauw Alejandro,Tattoo - Remix with Camilo,193.922,0.637,-5.134,0.721,0.691,0
66,3LR1Ienv3nT4S8gbsie6bA,Bunbury,...Y al final,121.959,0.318,-11.683,0.686,0.181,1
85,6SVwp3pEbiGgFbPt8dVYc8,Julio Jaramillo,Fatalidad,169.724,0.289,-16.789,0.587,0.73,1
89,6GAiLVQADBfxpmB7xgTYSG,Juan Fernando Velasco,Chao Lola,122.635,0.278,-10.452,0.611,0.385,1
91,5noeiAFGsabrISCvQjg9nl,Alberto Plaza,Aventurera (En Vivo),137.772,0.386,-14.526,0.387,0.284,1
93,2oYvW5BLlFnzGpjQDHTAHp,Fausto Miño,Usted Es Hermosa,142.349,0.227,-8.95,0.525,0.323,1
97,55HYMSdX8cNWH42DKhPQYH,Lolabúm,El Ecuador,130.0,0.245,-13.998,0.703,0.163,1
0,6ElroMfAvDKvcGabW4bD0h,Jaako Kuusisto,"Romance, Op. 78, No. 2",78.434,0.0804,-23.381,0.177,0.0394,1
98,2aTjxEvx7meoJXFc3qe4Xl,Lolabúm,Lágrima,150.164,0.335,-11.839,0.581,0.513,1
1,5J1Bc7eBy4FrKVBGyafpb0,David Grimal,Nocturne in D Major,132.443,0.0609,-24.575,0.213,0.038,1
2,287dUYZV8J8Y4PjTQRuSob,Benjamin Godard,"Sonata No. 1 for Solo Violin in B Minor, Op. 20: III. Adagio",88.611,0.0753,-18.623,0.158,0.172,1
3,34D6mcXRNcu62MV1fl5bNw,Joseph Joachim,Schottische Melodie,83.921,0.0316,-20.784,0.249,0.412,1
4,7wzONlFmvDx6kopGMDLA1K,Anna Moor,"Canon In D Major for 3 violins and basso continuo PWC 37, T. 337, PC 358",151.605,0.146,-17.797,0.226,0.321,1
12,4KEpdUEyqL1Jy9sMOEnlvm,Music That Will Make You Cry,Rain,96.609,0.194,-14.287,0.322,0.177,1
5,4IzH3stVPAzNWsghMFT2cI,Anna Moor,German Renaissance Allemande,119.908,0.149,-16.202,0.344,0.307,1
6,2EUf3RrgSVR04cDMpXRK2P,Anna Moor,"Ave Maria, Prelude No. 1 In C Major, Bwv 846",135.949,0.136,-18.007,0.204,0.18,1
7,1E4CT4Ch4uaRw9lbLsgKZb,The Music Themes,Amazing Grace,127.066,0.189,-13.277,0.265,0.19,1
11,1ObQX0ljSZ9i5RhwvQXVYa,Music That Will Make You Cry,Dream of Dreams,124.411,0.222,-13.115,0.242,0.0301,1
8,2r2JLT8yPse5cxQVnGiKHx,Music That Will Make You Cry,Time Forgotten,100.081,0.204,-16.348,0.202,0.0346,1
9,2k6FvdqwhdCYHWAILwR2Sv,Music That Will Make You Cry,Solitary Hill,75.771,0.266,-13.449,0.12,0.127,1
10,7nVGnAT4H64cMy4uZp6Ayi,Music That Will Make You Cry,Largo Maestoso,180.759,0.326,-12.138,0.112,0.0704,1
53,7k4t7uLgtOxPwTpFmtJNTY,KAROL G,Tusa,101.085,0.715,-3.28,0.803,0.574,2
28,2q74DF19q63stoxaAvh4IX,Alzate,Devuélveme la Vida - Versión Acústica,122.121,0.387,-7.285,0.793,0.294,2
82,3HGiJV64qj7pCgFq7Zphq6,Victor De Andres,Vasija de Barro,80.727,0.707,-5.543,0.253,0.295,2
88,7a4YByBsW9NOj7BM9P64gq,Julio Jaramillo,Cinco Centavitos,108.352,0.437,-10.505,0.851,0.584,2
87,6TCNCE4cYfXwn6895gwosP,Olimpo Cardenas,El Aguacate,95.438,0.263,-11.59,0.715,0.657,2
29,0vZCG0H9KhtU7K8MEUVAoV,DVBBS,Tsunami,128.026,0.839,-5.353,0.699,0.264,2
92,75DWa2YVcD1TBUjz6VFfPs,Fausto Miño,Y Sin Embargo,135.857,0.538,-7.659,0.616,0.479,2
96,336YqPiNYV1MdGZKarsbAt,La Máquina Camaleón,Los Zanqueros,119.282,0.559,-7.839,0.498,0.313,2
84,4NjjxA6cgx9aWOXAIaPEpA,Julio Jaramillo,Odiame,83.571,0.492,-6.627,0.706,0.586,2
30,1TWfkGrhF7ob0nwB2M6knb,Martin Garrix,Animals,128.007,0.868,-6.36,0.675,0.0376,2
31,3hWfKBt3n7j1xqIy6LA5ve,Vicetone,Astronomia,126.093,0.945,-2.634,0.653,0.326,2
33,7zmPg1E7QKBxkkAefpMi1T,Afrojack,Turn Up The Speakers - Original Mix,128.014,0.893,-5.978,0.756,0.28,2
48,4HYDUMY0xSpeBr0AMY9cUz,Jay Wheeler,La Curiosidad,90.013,0.677,-4.798,0.845,0.68,2
56,3quyxN3SapEsojxk1Uw10K,Hombres G,El ataque de las chicas cocodrilo,119.651,0.809,-5.754,0.506,0.559,2
47,21N4Buj4xsyLb218lYle61,Sebastian Yatra,Chica Ideal,100.978,0.891,-3.665,0.574,0.707,2
58,6FY8Imjs6YSglIAqnbU9mM,Molotov,Gimme Tha Power,80.873,0.657,-9.077,0.704,0.621,2
59,0cOXDRG1giESc1QVrHpbGE,Molotov,Amateur (Rock Me Amadeus),85.011,0.777,-5.129,0.537,0.543,2
41,6L5QMBrydoaapTDMQ0Anui,Linkin Park,Guilty All the Same (feat. Rakim),100.012,0.969,-3.369,0.566,0.641,2
61,5UJsYyBi0CdSJl0ul5aTgO,Ricardo Arjona,El Problema,99.907,0.714,-3.824,0.626,0.484,2
40,2DlHlPMa4M17kufBvI2lEN,System Of A Down,Chop Suey!,127.066,0.934,-3.908,0.417,0.287,2
39,0EYOdF5FCkgOJJla8DI2Md,System Of A Down,B.Y.O.B.,101.414,0.981,-2.688,0.538,0.711,2
50,15OjBeqNX3bShsGYQbteRv,Farruko,La Tóxica,91.97,0.701,-4.107,0.659,0.623,2
64,0HIoLXQTYfRvsDGifz8cWY,Ricardo Arjona,Minutos,99.973,0.842,-3.546,0.634,0.358,2
37,2jWV0ux1lnk31ya4T4Sriu,"Dimitri Vegas, Moguai & Like Mike",Mammoth - Original,128.008,0.848,-5.982,0.631,0.393,2
67,5vnAu12wplLvx1XH01PwRH,Bunbury,La chispa adecuada (feat. León Larregui) - MTV Unplugged,115.997,0.482,-9.083,0.521,0.307,2
36,54fgYLd9UtdPZVjx548Ver,Martin Garrix,Proxy,128.052,0.695,-5.722,0.667,0.292,2
71,2XU0oxnq2qxCpomAAuJY8K,Tones And I,Dance Monkey,98.027,0.588,-6.4,0.824,0.513,2
35,4hfYGVqQ0ElgeibMocRUvi,Martin Garrix,Wizard,127.964,0.907,-4.991,0.593,0.244,2
34,6AE0G24YXnDyEgE4L0efpB,Dimitri Vegas & Like Mike,Tremor - Sensation 2014 Anthem,127.992,0.939,-4.21,0.631,0.452,2
74,2RNdE6zNjE9idl8QxNxNYi,Gustavo Velasquez,Pobre Soy / Con Paso Fino / El Aguajal,107.75,0.914,-4.161,0.422,0.743,2
65,0dRY4OrSY53yUjVgfgne1W,Bunbury,Aunque no sea conmigo,86.09,0.715,-6.246,0.461,0.455,2
99,4FdwRmlzP5KGM7OewGBYiu,Pimpinela,Olvídame y Pega la Vuelta,77.627,0.838,-5.759,0.459,0.563,2
